1d-interleaved-parityfec,application/1d-interleaved-parityfec
3gpdash-qoe-report+xml,application/3gpdash-qoe-report+xml
3gppHal+json,application/3gppHal+json
3gppHalForms+json,application/3gppHalForms+json
3gpp-ims+xml,application/3gpp-ims+xml
A2L,application/A2L
ace+cbor,application/ace+cbor
activemessage,application/activemessage
activity+json,application/activity+json
alto-costmap+json,application/alto-costmap+json
alto-costmapfilter+json,application/alto-costmapfilter+json
alto-directory+json,application/alto-directory+json
alto-endpointprop+json,application/alto-endpointprop+json
alto-endpointpropparams+json,application/alto-endpointpropparams+json
alto-endpointcost+json,application/alto-endpointcost+json
alto-endpointcostparams+json,application/alto-endpointcostparams+json
alto-error+json,application/alto-error+json
alto-networkmapfilter+json,application/alto-networkmapfilter+json
alto-networkmap+json,application/alto-networkmap+json
alto-updatestreamcontrol+json,application/alto-updatestreamcontrol+json
alto-updatestreamparams+json,application/alto-updatestreamparams+json
AML,application/AML
andrew-inset,application/andrew-inset
applefile,application/applefile
at+jwt,application/at+jwt
ATF,application/ATF
ATFX,application/ATFX
atom+xml,application/atom+xml
atomcat+xml,application/atomcat+xml
atomdeleted+xml,application/atomdeleted+xml
atomicmail,application/atomicmail
atomsvc+xml,application/atomsvc+xml
atsc-dwd+xml,application/atsc-dwd+xml
atsc-dynamic-event-message,application/atsc-dynamic-event-message
atsc-held+xml,application/atsc-held+xml
atsc-rdt+json,application/atsc-rdt+json
atsc-rsat+xml,application/atsc-rsat+xml
ATXML,application/ATXML
auth-policy+xml,application/auth-policy+xml
bacnet-xdd+zip,application/bacnet-xdd+zip
batch-SMTP,application/batch-SMTP
beep+xml,application/beep+xml
calendar+json,application/calendar+json
calendar+xml,application/calendar+xml
call-completion,application/call-completion
CALS-1840,application/CALS-1840
captive+json,application/captive+json
cbor,application/cbor
cbor-seq,application/cbor-seq
cccex,application/cccex
ccmp+xml,application/ccmp+xml
ccxml+xml,application/ccxml+xml
CDFX+XML,application/CDFX+XML
cdmi-capability,application/cdmi-capability
